Phoneme_L1_1-1 fast
Sentence_L3_89 The small boy put the worm on the hook.
Sentence_L3_90 About dawn he got up to blow.
Sentence_L3_91 You gonna give me a drink, fella?
Sentence_L3_92 How on earth do you manage it?
Sentence_L3_93 However, a boy's lively eyes might rove.
Sentence_L3_94 Caution: continuous administration is not recommended for lactating cows.
Sentence_L3_95 Fools, he bayed, what do you think you are doing?
Sentence_L3_96 Her hum became a gurgle of surprise.
Sentence_L3_97 Such optimism was completely unjustified.
Sentence_L3_98 They were all good men.
Sentence_L3_99 She overplayed her hand.
Sentence_L3_100 Were you in love with that girl?
Sentence_L4_1 That's a nice suit. I haven't seen it before, have I?
Sentence_L4_2 No. It's the first time I've worn it, actually. I only got it about four days ago. you like it, do you?
Sentence_L4_3 Very much. Did you have it specially made, or did you buy it off the peg?
Sentence_L4_4 I had it made. I very rarely buy a suit, so I thought I'd have it tailored, and I'm quite pleased with it.
Sentence_L4_5 I should think so. It's very handsome. May I ask where you got it?
Sentence_L4_6 The same place as I got my last one, nineteen years ago.
Sentence_L4_7 Nineteen years? Do you really mean to tell me you haven't had a suit since then?
Sentence_L4_8 That's right. I don't often wear a suit, you see, so they tend to last a long time.
Sentence_L4_9 Nineteen years is certainly a long time; and even if you don't wear them much, your old one must have lasted well.
Sentence_L4_10 Oh, it did. They did a very good job on it.
Sentence_L4_11 What was the name of the tailor?
Sentence_L4_12 Philipson. It's quite a small shop right at the end of King street.
Sentence_L4_13 I know it. Rather a shabby-looking place. I've never been in there.
Sentence_L4_14 I wouldn't call it shabby, but it isn't very modern, I admit. However, they're very obliging, and take a great deal of trouble.
Sentence_L4_15 So I can see. I think I'll go along there. I need a new suit. Oh, by the way, what sort of prices do they charge?
Sentence_L4_16 Pretty reasonable, really. This was eighty pounds.
Sentence_L4_17 That's not bad. I think I'll look in there tomorrow.
Sentence_L4_18 Yes, do. Mention my name if you like. It won't do any harm, and it might do some good. I've just paid my bill.
Sentence_L4_19 I need a couple of shirts. Grey terylene, please.
Sentence_L4_20 Certainly, sir. I'll just get some out. Would you mind taking a seat for a minute. I shan't be long.
Sentence_L4_21 No, don't be too long. I haven't very much time.
Sentence_L4_22 Very good, sir. Here's a nice shirt; we sell a lot of this one.
Sentence_L4_23 Do you, now? Yes, it's the sort of style I want, but I asked for grey. This is purple.
Sentence_L4_24 Purple, sir? Surely not. It's what we call silver-blue.
Sentence_L4_25 Well, it looks purple to me. Anyway, I'd like something a little less bright, more like the one I'm wearing.
Sentence_L4_26 Oh, that sort of grey. I haven't seen that for years.
Sentence_L4_27 I bought it here, six months ago.
Sentence_L4_28 Did you really, sir? It must have been old stock.
Sentence_L4_29 Well, see if you've still got any left, will you?
Sentence_L4_30 Ah, yes, here we are. I'm sorry about the dust, sir. Can I lend you a handkerchief?
Sentence_L4_31 No, thank you, I'll survive. Yes, that looks better. Have you another one like it?
Sentence_L4_32 I'm afraid not, sir. It's probably the last in the country.
Sentence_L4_33 Oh, all right, I'll take it. How much is it?
Sentence_L4_34 Twelve pounds, sir. It was a very good shirt in its time.
Sentence_L4_35 I should think so, at twelve pounds. Can I pay by cheque?
Sentence_L4_36 Certainly, sir. You have a cheque card?
Sentence_L4_37 Yes, I have.
Sentence_L4_38 And would you just put your name and address on the back?
Sentence_L4_39 I can never understand that. If the cheque was no good, I'd put a false name and address, wouldn't I?
Sentence_L4_40 You're joking, sir, of course. I naturally assume your cheque is good.
Sentence_L4_41 Very trusting of you. It is, as a matter of fact.
Sentence_L4_42 Is there anything else you need, sir? Ties, socks, vests?
Sentence_L4_43 I don't think so, thank you. Good morning.
Sentence_L4_44 Good day, sir.
